idx,env_name,algo,seed,flags
1,visual-cube-double-play-v0,gcbc,0,--train_steps=500000 --agent=agents/gcbc.py --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
2,visual-cube-double-play-v0,gcbc,1,--train_steps=500000 --agent=agents/gcbc.py --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
3,visual-cube-double-play-v0,gcbc,2,--train_steps=500000 --agent=agents/gcbc.py --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
4,visual-cube-double-play-v0,gcivl,0,--train_steps=500000 --agent=agents/gcivl.py --agent.alpha=10.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
5,visual-cube-double-play-v0,gcivl,1,--train_steps=500000 --agent=agents/gcivl.py --agent.alpha=10.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
6,visual-cube-double-play-v0,gcivl,2,--train_steps=500000 --agent=agents/gcivl.py --agent.alpha=10.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
7,visual-cube-double-play-v0,gciql,0,--train_steps=500000 --agent=agents/gciql.py --agent.alpha=1.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
8,visual-cube-double-play-v0,gciql,1,--train_steps=500000 --agent=agents/gciql.py --agent.alpha=1.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
9,visual-cube-double-play-v0,gciql,2,--train_steps=500000 --agent=agents/gciql.py --agent.alpha=1.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
10,visual-cube-double-play-v0,qrl,0,--train_steps=500000 --agent=agents/qrl.py --agent.alpha=0.3 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
11,visual-cube-double-play-v0,qrl,1,--train_steps=500000 --agent=agents/qrl.py --agent.alpha=0.3 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
12,visual-cube-double-play-v0,qrl,2,--train_steps=500000 --agent=agents/qrl.py --agent.alpha=0.3 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
13,visual-cube-double-play-v0,crl,0,--train_steps=500000 --agent=agents/crl.py --agent.alpha=3.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
14,visual-cube-double-play-v0,crl,1,--train_steps=500000 --agent=agents/crl.py --agent.alpha=3.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
15,visual-cube-double-play-v0,crl,2,--train_steps=500000 --agent=agents/crl.py --agent.alpha=3.0 --agent.batch_size=256 --agent.encoder=impala_small --agent.p_aug=0.5
16,visual-cube-double-play-v0,hiql,0,--train_steps=500000 --agent=agents/hiql.py --agent.batch_size=256 --agent.encoder=impala_small --agent.high_alpha=3.0 --agent.low_actor_rep_grad=True --agent.low_alpha=3.0 --agent.p_aug=0.5 --agent.subgoal_steps=10
17,visual-cube-double-play-v0,hiql,1,--train_steps=500000 --agent=agents/hiql.py --agent.batch_size=256 --agent.encoder=impala_small --agent.high_alpha=3.0 --agent.low_actor_rep_grad=True --agent.low_alpha=3.0 --agent.p_aug=0.5 --agent.subgoal_steps=10
18,visual-cube-double-play-v0,hiql,2,--train_steps=500000 --agent=agents/hiql.py --agent.batch_size=256 --agent.encoder=impala_small --agent.high_alpha=3.0 --agent.low_actor_rep_grad=True --agent.low_alpha=3.0 --agent.p_aug=0.5 --agent.subgoal_steps=10
